evidence_id,claim_id,source_report_id,source_title,page,section,source_tier,text,as_of_date,quality
evidence_a27c8be776dfee72,claim_718cd680ce91b639,annual_000938_2025,2025年年度报告,39,市值管理制度和估值提升计划的制定落实情况,1,实现归属于上市公司股东的扣除非经常性损益的净利润16.35亿元，同比增长12.26%,2025,high
evidence_9c4d4129e01b3cce,claim_8f7931151f780f89,annual_000938_2025,2025年年度报告,16,主营业务分析,1,公司深化推进“算力×联接”战略，聚焦智算和国产化领域,2025,medium
evidence_3c3d3e1269fb91ff,claim_1ca7b303e456db62,annual_000938_2025,2025年年度报告,16,主营业务分析,1,公司深化推进“算力×联接”战略，聚焦智算和国产化领域,2025,medium
evidence_3542a534e14d8e9c,claim_17a9034acac8aa62,annual_000938_2025,2025年年度报告,18,核心竞争力,1,公司发布H3C UniStor Polaris X20000 系列多个新款型,2025,high
evidence_b85aba47bdfbf492,claim_1a76131c6a5e475e,annual_000938_2025,2025年年度报告,14,优质的客户资源和丰富的数字化转型实践经验,1,中国X86服务器市场份额12.5%，位列第三,2025,medium
evidence_c825576e6cb199ad,claim_21601efb6f564694,annual_000938_2025,2025年年度报告,24,单位：元,1,"表格：2024年研发费用5,101,818,089.81元",2025,medium
evidence_5d9651aa2a8fb4bc,claim_7f468d86f99ff665,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,2025,medium
evidence_70e6dc83988edbb2,claim_3ecb647b4264a73b,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,2025,medium
evidence_298b6db42fd29eed,claim_b516cfe00ba56b44,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,2025,medium
evidence_df533270253d3893,claim_e58cd7cd0c1bcf14,annual_000938_2025,2025年年度报告,32,√适用 □不适用,1,4、法律风险：因相关法律法规发生变化或交易对手违反相关法律法规，可能造成合约无法正常执行而给公司带来损失。,2025,high
evidence_9470592405d4755b,claim_62cbc8c6b7971e12,annual_000938_2025,2025年年度报告,15,覆盖全球的销售网络,1,同上,2025,medium
evidence_e7bfc4fb1f045cf6,claim_db16bcccac98a8f2,annual_000938_2025,2025年年度报告,36,资金需求及使用计划,1,致力于成为以“AI in ALL”为核心的全球化云网边端解决方案服务商,2025,high
evidence_46002849673ca812,claim_bf755ba88fa647bc,annual_000938_2025,2025年年度报告,8,注册变更情况,1,作为数字化及AI解决方案领导者，公司提供全栈智能化的信息通信（ICT）基础设施、云与智能平台，以及数字化转型及智能化升级解决方案。,2025,high
evidence_9707e23637d032c1,claim_369325682d0ee64e,annual_000938_2025,2025年年度报告,16,主营业务分析,1,公司实现归属于上市公司股东的净利润16.86亿元,2025,medium
evidence_d4fe1cb51860429b,claim_373d8356d6e9917a,annual_000938_2025,2025年年度报告,35,公司未来发展的展望,1,公司将持续深化智算技术创新，进行产品迭代升级,2025,medium
evidence_396b483c523eeac8,claim_910bc7e4f9d2267f,annual_000938_2025,2025年年度报告,26,费用,1,完成数据中心控制器 7.4 版本发布,2025,medium
evidence_ac0d438f47c853df,claim_01629214b9a108bc,annual_000938_2025,2025年年度报告,26,费用,1,完成数据中心控制器 7.4 版本发布,2025,medium
evidence_56f5f65e06acd86a,claim_925ae9cb0136b04c,annual_000938_2025,2025年年度报告,113,基本情况,1,作为数字化及AI解决方案提供者,2025,medium
