entity_id,type,name,normalized_name,properties,source_report_ids,review_status,is_core_company
entity_adb7086ed1f77fe1,Bottleneck,大模型行业落地中私域数据使用难题,大模型行业落地中私域数据使用难题,{},"[""annual_000938_2025""]",auto,
entity_331d7aec114c56e1,Company,紫光股份,紫光,"{""is_core_company"": true}","[""annual_000938_2025""]",auto,true
entity_0cc84bc25876929d,DemandDriver,人工智能+行动,人工智能+行动,{},"[""annual_000938_2025""]",auto,
entity_97b65c5bcd2c7943,DemandDriver,大模型在行业落地的市场机会,大模型在行业落地的市场机会,{},"[""annual_000938_2025""]",auto,
entity_71d1e0468994649f,DemandDriver,市场需求,市场需求,{},"[""annual_000938_2025""]",auto,
entity_5946f556a3522282,DemandDriver,技术研发需求,技术研发需求,{},"[""annual_000938_2025""]",auto,
entity_65435c6483c09ddc,DemandDriver,桌面级 AI 算力灵活和快速部署需求,桌面级ai算力灵活和快速部署需求,{},"[""annual_000938_2025""]",auto,
entity_c24eb920eb924a52,IndustryChain,AI算力产业链,ai算力产业链,{},"[""annual_000938_2025""]",auto,
entity_5dd1e4e9938eca47,IndustryChain,云—网—安—算—存—端,云—网—安—算—存—端,{},"[""annual_000938_2025""]",auto,
entity_1b96f3a9e92d556d,IndustryChain,算力产业链,算力产业链,{},"[""annual_000938_2025""]",auto,
entity_7812651f09be08e5,IndustryConcept,AI,ai,{},"[""annual_000938_2025""]",auto,
entity_800b9e5d11c67ce7,IndustryConcept,人工智能,人工智能,{},"[""annual_000938_2025""]",auto,
entity_ede12d4e2b5d4f85,IndustryConcept,数字化,数字化,{},"[""annual_000938_2025""]",auto,
entity_ffa4c577ecf1ba3d,IndustryConcept,数字化及AI解决方案,数字化及ai解决方案,{},"[""annual_000938_2025""]",auto,
entity_32fb1aa09643395c,IndustryConcept,数字化转型,数字化转型,{},"[""annual_000938_2025""]",auto,
entity_6082c6f1fd930941,IndustryConcept,智算业务,智算业务,{},"[""annual_000938_2025""]",auto,
entity_4f848af50b1af3dc,IndustryConcept,智算中心,智算中心,{},"[""annual_000938_2025""]",auto,
entity_61096b95fbf8746a,Metric,ICT基础设施与服务收入占比,ict基础设施与服务收入占比,"{""metric_name"": ""ICT基础设施与服务收入占比"", ""unit"": ""%"", ""value"": ""79.43%"", ""year"": ""2025""}","[""annual_000938_2025""]",auto,
entity_3c929d14037d14fe,Metric,IT产品分销与供应链服务收入占比,it产品分销与供应链服务收入占比,"{""metric_name"": ""IT产品分销与供应链服务收入占比"", ""unit"": ""%"", ""value"": ""26.42%"", ""year"": ""2025""}","[""annual_000938_2025""]",auto,
entity_96bf2bbf674e62c1,Metric,主营业务收入_2024,主营业务收入_2024,"{""metric_name"": ""主营业务收入"", ""unit"": ""人民币元"", ""value"": 78865531368.92, ""year"": 2024}","[""annual_000938_2025""]",auto,
entity_d5957726db830f17,Metric,主营业务收入_2025,主营业务收入_2025,"{""metric_name"": ""主营业务收入"", ""unit"": ""人民币元"", ""value"": 96267600254.58, ""year"": 2025}","[""annual_000938_2025""]",auto,
entity_aa9e506235966438,Metric,净利润_2024,净利润_2024,"{""metric_name"": ""净利润"", ""unit"": ""人民币元"", ""value"": 1982277033.02, ""year"": 2024}","[""annual_000938_2025""]",auto,
entity_7fdefa84ac075941,Metric,净利润_2025,净利润_2025,"{""metric_name"": ""净利润"", ""unit"": ""人民币元"", ""value"": 2171084501.45, ""year"": 2025}","[""annual_000938_2025""]",auto,
entity_e79cc5e1b6390348,Metric,商品销售收入,商品销售收入,"{""metric_name"": ""商品销售收入"", ""unit"": ""百万元"", ""value"": 90464, ""year"": 2025}","[""annual_000938_2025""]",auto,
entity_53c4cf00ea8babd4,Metric,国内收入,国内收入,"{""metric_name"": ""国内收入"", ""unit"": ""元"", ""value"": 92037811596.19, ""year"": ""2025""}","[""annual_000938_2025""]",auto,
entity_9b38af19f7e1e5b3,Metric,国内营业收入,国内营业收入,"{""metric_name"": ""国内营业收入"", ""unit"": ""元"", ""value"": 92037811596.19, ""year"": 2025}","[""annual_000938_2025""]",auto,
entity_bee4d3ddd9eebf73,Metric,国外收入,国外收入,"{""metric_name"": ""国外收入"", ""unit"": ""元"", ""value"": 4710527747.84, ""year"": ""2025""}","[""annual_000938_2025""]",auto,
entity_3e71f93d02af09b0,Metric,国外营业收入,国外营业收入,"{""metric_name"": ""国外营业收入"", ""unit"": ""元"", ""value"": 4710527747.84, ""year"": 2025}","[""annual_000938_2025""]",auto,
entity_f20e684b4666ee76,Metric,归属于上市公司股东的净利润,归属于上市公司股东的净利润,"{""metric_name"": ""归属于上市公司股东的净利润"", ""unit"": ""元"", ""value"": ""1,685,521,754.82"", ""year"": ""2025""}","[""annual_000938_2025""]",auto,
entity_13b359cf39ae8321,Metric,归属于上市公司股东的扣除非经常性损益的净利润,归属于上市公司股东的扣除非经常性损益的净利润,"{""metric_name"": ""归属于上市公司股东的扣除非经常性损益的净利润"", ""unit"": ""元"", ""value"": ""1,634,660,607.17"", ""year"": ""2025""}","[""annual_000938_2025""]",auto,
