claim_id,claim_type,topic,claim_text,companies,mechanism,direction,horizon,metric,value,unit,source_report_id,source_title,page,section,source_tier,evidence_span,confidence,as_of_date,exposure_level,review_status,reviewer_note,quality_flags,conflict_group_id
claim_718cd680ce91b639,indicator,算力网络,算力网络 的可跟踪指标：紫光股份披露指标扣非归母净利润同比增长率。证据：实现归属于上市公司股东的扣除非经常性损益的净利润16.35亿元，同比增长12.26%,"[""紫光股份""]",紫光股份 在 算力网络 的关系为披露指标扣非归母净利润同比增长率,neutral,,扣非归母净利润同比增长率,16.35,亿元,annual_000938_2025,2025年年度报告,39,市值管理制度和估值提升计划的制定落实情况,1,实现归属于上市公司股东的扣除非经常性损益的净利润16.35亿元，同比增长12.26%,1.00,2025,core,auto,,,
claim_8f7931151f780f89,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：属于环节AI算力产业链。证据：公司深化推进“算力×联接”战略，聚焦智算和国产化领域,"[""紫光股份""]",紫光股份 在 算力网络 的关系为属于环节AI算力产业链,neutral,,,,,annual_000938_2025,2025年年度报告,16,主营业务分析,1,公司深化推进“算力×联接”战略，聚焦智算和国产化领域,0.80,2025,core,auto,,,
claim_1ca7b303e456db62,company_exposure,国产算力,紫光股份 对 国产算力 的公司敞口为 mentioned：属于环节AI算力产业链。证据：公司深化推进“算力×联接”战略，聚焦智算和国产化领域,"[""紫光股份""]",紫光股份 在 国产算力 的关系为属于环节AI算力产业链,neutral,,,,,annual_000938_2025,2025年年度报告,16,主营业务分析,1,公司深化推进“算力×联接”战略，聚焦智算和国产化领域,0.80,2025,mentioned,auto,,,
claim_17a9034acac8aa62,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品H3C UniStor Polaris X20000 系列。证据：公司发布H3C UniStor Polaris X20000 系列多个新款型,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品H3C UniStor Polaris X20000 系列,neutral,,,3,,annual_000938_2025,2025年年度报告,18,核心竞争力,1,公司发布H3C UniStor Polaris X20000 系列多个新款型,0.90,2025,core,auto,,,
claim_1a76131c6a5e475e,indicator,算力网络,算力网络 的可跟踪指标：紫光股份拥有产品X86服务器。证据：中国X86服务器市场份额12.5%，位列第三,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品X86服务器,neutral,,,86,,annual_000938_2025,2025年年度报告,14,优质的客户资源和丰富的数字化转型实践经验,1,中国X86服务器市场份额12.5%，位列第三,0.90,2025,core,auto,,,
claim_21601efb6f564694,indicator,算力网络,"算力网络 的可跟踪指标：紫光股份披露指标研发费用_2024。证据：表格：2024年研发费用5,101,818,089.81元","[""紫光股份""]",紫光股份 在 算力网络 的关系为披露指标研发费用_2024,neutral,,研发费用_2024,2024,,annual_000938_2025,2025年年度报告,24,单位：元,1,"表格：2024年研发费用5,101,818,089.81元",1.00,2025,core,auto,,,
claim_7f468d86f99ff665,company_exposure,光模块,紫光股份 对 光模块 的公司敞口为 mentioned：拥有产品800G国芯智算交换机。证据：发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,"[""紫光股份""]",紫光股份 在 光模块 的关系为拥有产品800G国芯智算交换机,neutral,,,800,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,0.90,2025,mentioned,auto,,,
claim_3ecb647b4264a73b,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 mentioned：拥有产品800G国芯智算交换机。证据：发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,"[""紫光股份""]",紫光股份 在 液冷 的关系为拥有产品800G国芯智算交换机,neutral,,,800,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,0.90,2025,mentioned,auto,,,
claim_b516cfe00ba56b44,company_exposure,算力网络,紫光股份 对 算力网络 的公司敞口为 core：拥有产品800G国芯智算交换机。证据：发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,"[""紫光股份""]",紫光股份 在 算力网络 的关系为拥有产品800G国芯智算交换机,neutral,,,800,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,0.90,2025,core,auto,,,
claim_e58cd7cd0c1bcf14,risk,算力网络,紫光股份 在 算力网络 相关业务中的风险：法律风险。证据：4、法律风险：因相关法律法规发生变化或交易对手违反相关法律法规，可能造成合约无法正常执行而给公司带来损失。,"[""紫光股份""]",紫光股份 在 算力网络 的关系为披露风险法律风险,negative,,,4,,annual_000938_2025,2025年年度报告,32,√适用 □不适用,1,4、法律风险：因相关法律法规发生变化或交易对手违反相关法律法规，可能造成合约无法正常执行而给公司带来损失。,1.00,2025,core,auto,,,
