relation_id,head_type,head_name,relation,tail_type,tail_name,evidence,source_report_id,source_title,page,section,source_tier,confidence,review_status
relation_00b521935b9cfef8,Company,紫光南方云技术有限公司,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,145,税项,1,1.00,auto
relation_015f60c2d689e6c5,IndustryConcept,数据中心交换机,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,27,公司研发投入情况,1,1.00,auto
relation_01854d31e8c77ef5,Metric,存储性能提升,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,25,费用,1,1.00,auto
relation_01eedb6c5fd30f58,Risk,研发失败风险,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,130,重要会计政策及会计估计（续）,1,1.00,auto
relation_02ace0cce5a1f6ae,Workload,智算业务,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,26,费用,1,1.00,auto
relation_02b14925d1d100d8,Metric,迁移效率提升,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,26,费用,1,1.00,auto
relation_02c3b71c87132718,Company,紫光股份,HAS_PRODUCT,Product,软件,软件、特许权及其他1-10年使用期限与预计可使用期限两者孰短等,annual_000938_2025,2025年年度报告,130,重要会计政策及会计估计（续）,1,0.90,auto
relation_030e9779577c6e4f,Company,紫光股份,HAS_METRIC,Metric,土地使用权摊销年限,土地使用权的摊销年限为32-50年,annual_000938_2025,2025年年度报告,130,重要会计政策及会计估计（续）,1,0.90,auto
relation_0324ca07d0808702,Metric,ICT基础设施与服务成本占比2024,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,21,单位：元,1,1.00,auto
relation_039fb08c974c32da,Metric,其他业务成本同比增减,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,21,单位：元,1,1.00,auto
relation_03b42a2d8c9a0b11,Company,紫光股份,HAS_METRIC,Metric,扣非归母净利润同比增长率,实现归属于上市公司股东的扣除非经常性损益的净利润16.35亿元，同比增长12.26%,annual_000938_2025,2025年年度报告,39,市值管理制度和估值提升计划的制定落实情况,1,1.00,auto
relation_03e96cda8ddc99d6,Company,新华三技术有限公司,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,145,税项,1,1.00,auto
relation_04459cfb1961a92e,Metric,ICT基础设施与服务营业收入,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,20,单位：元,1,1.00,auto
relation_0480f3da3170cb21,ValueChainSegment,开发阶段,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,130,重要会计政策及会计估计（续）,1,1.00,auto
relation_049f50ceb5733c38,Company,紫光股份,BELONGS_TO_CHAIN,IndustryChain,AI算力产业链,公司深化推进“算力×联接”战略，聚焦智算和国产化领域,annual_000938_2025,2025年年度报告,16,主营业务分析,1,0.80,auto
relation_04f1b6f9d31fc612,Company,紫光股份,HAS_PRODUCT,Product,H3C UniStor Polaris X20000 系列,公司发布H3C UniStor Polaris X20000 系列多个新款型,annual_000938_2025,2025年年度报告,18,核心竞争力,1,0.90,auto
relation_052ec4ec67ec5e48,Company,紫光股份,HAS_PRODUCT,Product,X86服务器,中国X86服务器市场份额12.5%，位列第三,annual_000938_2025,2025年年度报告,14,优质的客户资源和丰富的数字化转型实践经验,1,0.90,auto
relation_05322a7ff3306127,Metric,筹资活动现金流出小计_2024,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,28,单位：元,1,1.00,auto
relation_059e9873bb549c69,Company,紫光股份,HAS_METRIC,Metric,研发费用_2024,"表格：2024年研发费用5,101,818,089.81元",annual_000938_2025,2025年年度报告,24,单位：元,1,1.00,auto
relation_05bd8199c79db0fd,Product,智算安全解决方案,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,18,核心竞争力,1,1.00,auto
relation_05c4b631274920ac,Product,H3C绿洲平台,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,14,优质的客户资源和丰富的数字化转型实践经验,1,1.00,auto
relation_061f8b0238251af6,Company,新华三信息安全技术有限公司,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,145,税项,1,1.00,auto
relation_0648972fe1787115,Metric,中国数字基础设施市场规模,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,13,核心竞争力分析,1,1.00,auto
relation_06949cd71937c40b,Product,云安全,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,12,管理层讨论与分析,1,1.00,auto
relation_06962e02a6bbec82,Company,紫光股份,HAS_METRIC,Metric,产品质量保证年初余额,"年初余额692,575,891.75",annual_000938_2025,2025年年度报告,185,合并财务报表主要项目注释（续）,1,1.00,auto
relation_06993201b6c1f4d9,Company,紫光股份,HAS_PRODUCT,Product,800G国芯智算交换机,发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_06a5a9cfd54187bd,Company,紫光股份,DISCLOSES_RISK,Risk,法律风险,4、法律风险：因相关法律法规发生变化或交易对手违反相关法律法规，可能造成合约无法正常执行而给公司带来损失。,annual_000938_2025,2025年年度报告,32,√适用 □不适用,1,1.00,auto
relation_06dcfd206f8aada5,IndustryChain,云—网—安—算—存—端,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,24,费用,1,1.00,auto
relation_0721e4d36e6393ec,Company,新华三集团有限公司,HAS_PRODUCT,Product,服务器,被投资企业的主营业务：网络产品、服务器、存储产品、安全产品、云计算产品、互联网信息技术产品的研发、生产、销售等,annual_000938_2025,2025年年度报告,69,√适用 □不适用,1,1.00,auto
relation_0724424e25df030d,Company,紫光股份,USES_TECHNOLOGY,Technology,CloudOS,同上,annual_000938_2025,2025年年度报告,15,覆盖全球的销售网络,1,0.90,auto
relation_073379a1aedba64b,Product,人工智能,MENTIONED_IN,Report,annual_000938_2025,实体在报告《2025年年度报告》中被抽取。,annual_000938_2025,2025年年度报告,24,费用,1,1.00,auto
