relation_id,head_type,head_name,relation,tail_type,tail_name,evidence,source_report_id,source_title,page,section,source_tier,confidence,review_status
relation_3af7d495f4a5f658,Company,紫光股份,USES_TECHNOLOGY,Technology,800G以太网,与中国移动积极推动算力网络发展，共同完成业界首次800G以太网智算协同训练的现网技术试验。,annual_000938_2025,2025年年度报告,19,抢抓产业机遇，助力国内行业客户增强数智化水平,1,0.90,auto
relation_96a1ddd3a7d6b93f,Company,紫光股份,HAS_PRODUCT,Product,交换机,主要产品及服务包括：1、网络设备：交换机、路由器、WLAN、SDN、PON、智能管理与运维服务等；,annual_000938_2025,2025年年度报告,12,管理层讨论与分析,1,1.00,auto
relation_2705c6fa69d7f3b4,Company,紫光股份,HAS_PRODUCT,Product,以太网交换机,中国以太网交换机市场份额34.5%，排名第二,annual_000938_2025,2025年年度报告,14,优质的客户资源和丰富的数字化转型实践经验,1,0.90,auto
relation_e7da39ed03657089,Company,紫光股份,HAS_PRODUCT,Product,网络交换机,公司在中国企业网交换机市场份额36.1%，排名第一,annual_000938_2025,2025年年度报告,14,优质的客户资源和丰富的数字化转型实践经验,1,0.90,auto
relation_06993201b6c1f4d9,Company,紫光股份,HAS_PRODUCT,Product,800G国芯智算交换机,发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_1214939d3c672a3b,Company,紫光股份,HAS_PRODUCT,Product,H3C UniPoD S80000超节点,H3C UniPoD S80000 超节点产品，大幅提升通信效率和模型算力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_1437ecc86ae23790,Company,紫光股份,USES_TECHNOLOGY,Technology,液冷散热,关键部件实现液冷散热,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_20bcff1e2b513d1a,Company,紫光股份,HAS_PRODUCT,Product,国芯超低时延交换机,公司发布了面向极速交易场景的新一代国芯超低时延交换机,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_21f55f1446dcfc5e,Company,紫光股份,HAS_PRODUCT,Product,DDC架构新一代无损网络解决方案,发布基于DDC（Diversity Dynamic-Connectivity，多元动态联接）架构的新一代无损网络解决方案,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_3dc1ae7d1a4f2485,Company,紫光股份,USES_TECHNOLOGY,Technology,Scale-up整机柜技术,公司重点推进CPO 技术与Scale-up 整机柜两大前沿技术方向研究,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_562e50b3cfacef26,Company,紫光股份,HAS_PRODUCT,Product,灵犀智算方案V5.0,公司灵犀智算方案迭代至V5.0 版本，全面支持私域训推、大规模训练、垂直行业类AI 应用开发三类智算中心的建设需求,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_6fec882f638cc461,Company,紫光股份,HAS_PRODUCT,Product,Cloudnet云管,2025 年Cloudnet 云管业务快速增长,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_8a59cefc73b08064,Company,紫光股份,HAS_PRODUCT,Product,H3C UniServer G7系列模块化服务器,公司H3C UniServer G7 系列模块化服务器以丰富的软硬件生态兼容性，适用于集群训练、训推一体、边缘推理等场景,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_c73c90cf4becdec2,Company,紫光股份,HAS_PRODUCT,Product,全光网络5.0解决方案,发布全光网络5.0 解决方案,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_cdc685e42600c4ea,Company,紫光股份,USES_TECHNOLOGY,Technology,CPO技术,公司重点推进CPO 技术与Scale-up 整机柜两大前沿技术方向研究,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_d013897dfdd8afcc,Company,紫光股份,HAS_PRODUCT,Product,51.2T CPO硅光数据中心交换机,51.2T CPO 硅光数据中心交换机产品融合核心技术优势,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_7ad5ffc061c4c9de,Company,紫光股份,HAS_PRODUCT,Product,数据中心交换机,公司数据中心交换机和高端路由器成功通过欧洲高级网络测试中心（EANTC）2025 互通性测试,annual_000938_2025,2025年年度报告,18,核心竞争力,1,0.90,auto
relation_e971536d58536739,Company,紫光股份,HAS_PRODUCT,Product,高端路由器,公司数据中心交换机和高端路由器成功通过欧洲高级网络测试中心（EANTC）2025 互通性测试,annual_000938_2025,2025年年度报告,18,核心竞争力,1,0.90,auto
relation_29705dba71a77927,Company,紫光股份,HAS_PRODUCT,Product,云计算产品,新华三集团主要业务包括网络产品、服务器、存储产品、安全产品、云计算产品、互联网信息技术产品的研发、生产、销售等,annual_000938_2025,2025年年度报告,34,公司控制的结构化主体情况,1,0.90,auto
relation_4dc11edb7fd47ef7,Company,紫光股份,HAS_PRODUCT,Product,互联网信息技术产品,新华三集团主要业务包括网络产品、服务器、存储产品、安全产品、云计算产品、互联网信息技术产品的研发、生产、销售等,annual_000938_2025,2025年年度报告,34,公司控制的结构化主体情况,1,0.90,auto
relation_55bf1b6fd90be97f,Company,紫光股份,HAS_PRODUCT,Product,服务器,新华三集团主要业务包括网络产品、服务器、存储产品、安全产品、云计算产品、互联网信息技术产品的研发、生产、销售等,annual_000938_2025,2025年年度报告,34,公司控制的结构化主体情况,1,0.90,auto
relation_ac73847aaab59875,Company,紫光股份,HAS_PRODUCT,Product,存储产品,新华三集团主要业务包括网络产品、服务器、存储产品、安全产品、云计算产品、互联网信息技术产品的研发、生产、销售等,annual_000938_2025,2025年年度报告,34,公司控制的结构化主体情况,1,0.90,auto
