claim_id,claim_type,topic,claim_text,companies,mechanism,direction,horizon,metric,value,unit,source_report_id,source_title,page,section,source_tier,evidence_span,confidence,as_of_date,exposure_level,review_status,reviewer_note,quality_flags,conflict_group_id
claim_53ad2342f7f9081f,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 indirect：拥有产品液冷技术创新产品。证据：2025年，公司又陆续推出多款液冷技术创新产品及配套解决方案,"[""紫光股份""]",紫光股份 在 液冷 的关系为拥有产品液冷技术创新产品,neutral,near_term,,2025,,annual_000938_2025,2025年年度报告,15,覆盖全球的销售网络,1,2025年，公司又陆续推出多款液冷技术创新产品及配套解决方案,0.90,2025,indirect,auto,,,
claim_2d7f1a307c52e938,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 mentioned：拥有产品全光网络5.0解决方案。证据：发布全光网络5.0 解决方案,"[""紫光股份""]",紫光股份 在 液冷 的关系为拥有产品全光网络5.0解决方案,neutral,,,5.0,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,发布全光网络5.0 解决方案,0.90,2025,mentioned,auto,,,
claim_3ecb647b4264a73b,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 mentioned：拥有产品800G国芯智算交换机。证据：发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,"[""紫光股份""]",紫光股份 在 液冷 的关系为拥有产品800G国芯智算交换机,neutral,,,800,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,0.90,2025,mentioned,auto,,,
claim_4b75c92cbc47de78,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 mentioned：拥有产品51.2T CPO硅光数据中心交换机。证据：51.2T CPO 硅光数据中心交换机产品融合核心技术优势,"[""紫光股份""]",紫光股份 在 液冷 的关系为拥有产品51.2T CPO硅光数据中心交换机,neutral,,,51.2,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,51.2T CPO 硅光数据中心交换机产品融合核心技术优势,0.90,2025,mentioned,auto,,,
claim_535484df684d81c3,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 mentioned：拥有产品H3C UniServer G7系列模块化服务器。证据：公司H3C UniServer G7 系列模块化服务器以丰富的软硬件生态兼容性，适用于集群训练、训推一体、边缘推理等场景,"[""紫光股份""]",紫光股份 在 液冷 的关系为拥有产品H3C UniServer G7系列模块化服务器,neutral,,,3,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,公司H3C UniServer G7 系列模块化服务器以丰富的软硬件生态兼容性，适用于集群训练、训推一体、边缘推理等场景,0.90,2025,mentioned,auto,,,
claim_60dab9bde6c5f01d,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 mentioned：拥有产品国芯超低时延交换机。证据：公司发布了面向极速交易场景的新一代国芯超低时延交换机,"[""紫光股份""]",紫光股份 在 液冷 的关系为拥有产品国芯超低时延交换机,neutral,,,,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,公司发布了面向极速交易场景的新一代国芯超低时延交换机,0.90,2025,mentioned,auto,,,
claim_6d38ddeb63effea9,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 mentioned：涉及技术Scale-up整机柜技术。证据：公司重点推进CPO 技术与Scale-up 整机柜两大前沿技术方向研究,"[""紫光股份""]",紫光股份 在 液冷 的关系为涉及技术Scale-up整机柜技术,neutral,,,,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,公司重点推进CPO 技术与Scale-up 整机柜两大前沿技术方向研究,0.90,2025,mentioned,auto,,,
claim_8d79b795987fbcb5,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 mentioned：涉及技术CPO技术。证据：公司重点推进CPO 技术与Scale-up 整机柜两大前沿技术方向研究,"[""紫光股份""]",紫光股份 在 液冷 的关系为涉及技术CPO技术,neutral,,,,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,公司重点推进CPO 技术与Scale-up 整机柜两大前沿技术方向研究,0.90,2025,mentioned,auto,,,
claim_8f98bc41363475ce,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 mentioned：拥有产品Cloudnet云管。证据：2025 年Cloudnet 云管业务快速增长,"[""紫光股份""]",紫光股份 在 液冷 的关系为拥有产品Cloudnet云管,neutral,near_term,,2025,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,2025 年Cloudnet 云管业务快速增长,0.90,2025,mentioned,auto,,,
claim_d43ac4f93bc1463a,company_exposure,液冷,紫光股份 对 液冷 的公司敞口为 indirect：拥有产品H3C UniPoD S80000超节点。证据：H3C UniPoD S80000 超节点产品，大幅提升通信效率和模型算力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持,"[""紫光股份""]",紫光股份 在 液冷 的关系为拥有产品H3C UniPoD S80000超节点,neutral,,,3,,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,H3C UniPoD S80000 超节点产品，大幅提升通信效率和模型算力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持,0.90,2025,indirect,auto,,,
