report_id,title,source_site,source_url,pdf_url,year,published_at,source_tier,source_type,topics
industry_caict_green_compute_2025,绿色算力发展研究报告（2025年）,中国信通院,https://gma.caict.ac.cn/plat/news/full-collection-of-blue-books-and-report-published-by-caict-in-2025,https://www.caict.ac.cn/kxyj/qwfb/ztbg/202507/P020250724397149741659.pdf,2025,2025-07,1,authority_whitepaper,绿色算力;液冷;数据中心;算电协同
industry_caict_compute_service_provider_2025,算力中心服务商分析报告（2025年）,中国信通院,https://gma.caict.ac.cn/plat/news/full-collection-of-blue-books-and-report-published-by-caict-in-2025,https://www.caict.ac.cn/kxyj/qwfb/ztbg/202507/P020250707617798232823.pdf,2025,2025-07,1,authority_whitepaper,算力中心;服务商;智算中心
industry_caict_compute_power_coordination_2025,算力电力协同发展研究报告（2025年）,中国信通院,https://gma.caict.ac.cn/plat/news/full-collection-of-blue-books-and-report-published-by-caict-in-2025,https://www.caict.ac.cn/kxyj/qwfb/ztbg/202505/P020250509511369626787.pdf,2025,2025-05,1,authority_whitepaper,算电协同;绿色电力;数据中心
industry_caict_advanced_compute_index_2024,先进计算暨算力发展指数蓝皮书（2024年）,中国信通院,https://www.caict.ac.cn/kxyj/qwfb/bps/202501/P020250117503621662777.pdf,https://www.caict.ac.cn/kxyj/qwfb/bps/202501/P020250117503621662777.pdf,2024,2025-01,1,authority_whitepaper,算力指数;智能算力;先进计算
industry_caict_data_center_2022,数据中心白皮书（2022年）,中国信通院,https://www.caict.ac.cn/kxyj/qwfb/bps/202204/P020220422707354529853.pdf,https://www.caict.ac.cn/kxyj/qwfb/bps/202204/P020220422707354529853.pdf,2022,2022-04,1,authority_whitepaper,数据中心;液冷;PUE;基础设施
industry_caict_ai_core_technology_2021,人工智能核心技术产业白皮书,中国信通院,https://www.caict.ac.cn/kxyj/qwfb/bps/202104/P020210420614092578238.pdf,https://www.caict.ac.cn/kxyj/qwfb/bps/202104/P020210420614092578238.pdf,2021,2021-04,1,authority_whitepaper,人工智能;AI算力;云边端;智能计算
industry_tech_irds_more_moore_2024,IRDS 2024 More Moore,IEEE IRDS,https://irds.ieee.org/images/files/pdf/2024/2024IRDS_MM.pdf,https://irds.ieee.org/images/files/pdf/2024/2024IRDS_MM.pdf,2024,2024,1,technical_roadmap,semiconductor roadmap;logic scaling;memory;AI accelerators;PPAC;3D integration
industry_tech_irds_outside_system_connectivity_2024,IRDS 2024 Outside System Connectivity,IEEE IRDS,https://irds.ieee.org/images/files/pdf/2024/2024IRDS_OSC.pdf,https://irds.ieee.org/images/files/pdf/2024/2024IRDS_OSC.pdf,2024,2024,1,technical_roadmap,outside system connectivity;optical interconnect;SerDes;bandwidth;AI clusters
industry_tech_irds_packaging_tutorial_2024,IRDS 2024 Executive Packaging Tutorial Part 1,IEEE IRDS,https://irds.ieee.org/images/files/pdf/2024/2024IRDS_EPT-Part1.pdf,https://irds.ieee.org/images/files/pdf/2024/2024IRDS_EPT-Part1.pdf,2024,2024,1,technical_roadmap,advanced packaging;heterogeneous integration;chiplet;HBM;2.5D;3D integration
industry_tech_hir_photonics_2023,HIR 2023 Integrated Photonics,IEEE EPS HIR,https://eps.ieee.org/technology/heterogeneous-integration-roadmap/2023-edition.html,https://eps.ieee.org/wp-content/uploads/2025/11/ch09_photonics.pdf,2023,2023-03,1,technical_roadmap,integrated photonics;CPO;silicon photonics;optical engine;AI interconnect
industry_tech_hir_thermal_2023,HIR 2023 Thermal,IEEE EPS HIR,https://eps.ieee.org/technology/heterogeneous-integration-roadmap/2023-edition.html,https://eps.ieee.org/wp-content/uploads/2025/11/ch20_thermalfinal.pdf,2023,2023-03,1,technical_roadmap,thermal management;2.5D;3D chiplet;liquid cooling;TIM;power density
industry_tech_ocp_oai_ubb_2023,OCP OAI Universal Baseboard Base Specification r2.0,Open Compute Project,https://www.opencompute.org/documents/oai-ubb-base-specification-r2-0-v1-0-20230919-pdf,https://www.opencompute.org/documents/oai-ubb-base-specification-r2-0-v1-0-20230919-pdf,2023,2023-09,1,manual_open_specification,OAI;OAM;AI accelerator baseboard;scale-out;power;liquid cooling;112G PAM4
industry_tech_ocp_acs_cold_plate_2024,OCP ACS Liquid Cooling Cold Plate Requirements,Open Compute Project,https://www.opencompute.org/documents/ocp-acs-liquid-cooling-cold-plate-requirements-pdf,https://www.opencompute.org/documents/ocp-acs-liquid-cooling-cold-plate-requirements-pdf,2024,2024,1,manual_open_specification,liquid cooling;cold plate;CDU;rack manifold;quick disconnect;AI server thermal
industry_tech_oif_cei_224g_2022,OIF Next Generation CEI-224G Framework,OIF,https://www.oiforum.com/wp-content/uploads/OIF-FD-CEI-224G-01.0.pdf,https://www.oiforum.com/wp-content/uploads/OIF-FD-CEI-224G-01.0.pdf,2022,2022-02,1,manual_open_specification,CEI-224G;SerDes;PAM4;CPO;optical engine;switch bandwidth;800G;1.6T
industry_tech_ucie_2_whitepaper_2024,UCIe 2.0 Specification Continuing Innovation to Drive an Open Chiplet Ecosystem,UCIe Consortium,https://www.uciexpress.org/2-0-spec-download,https://www.uciexpress.org/_files/ugd/0c1418_b6481ec611e24c6e91f1beb743b0c860.pdf,2024,2024-08,1,open_specification,UCIe;chiplet;3D packaging;DFx;manageability;advanced packaging
industry_tech_ualink_200g_2025,UALink 200G 1.0 Specification,UALink Consortium,https://ualinkconsortium.org/specification/,https://ualinkconsortium.org/wp-content/uploads/2025/04/UALink200_Specification_v1.0_Evaluation_Copy.pdf,2025,2025-04,1,open_specification,UALink;scale-up interconnect;AI accelerator pod;200G;load-store;switch fabric
industry_tech_ultra_ethernet_1_0_2_2026,Ultra Ethernet Specification v1.0.2,Ultra Ethernet Consortium,https://ultraethernet.org/ultra-ethernet-consortium-uec-launches-specification-1-0-transforming-ethernet-for-ai-and-hpc-at-scale/,https://ultraethernet.org/wp-content/uploads/sites/20/2026/01/UE-Specification-1.0.2-1.pdf,2026,2026-01,1,open_specification,Ultra Ethernet;UET;RDMA;congestion control;AI networking;HPC;scale-out
industry_tech_mlperf_training_2019,MLPerf Training Benchmark,arXiv,https://arxiv.org/abs/1910.01500,https://arxiv.org/pdf/1910.01500.pdf,2019,2019-10,1,benchmark_methodology,MLPerf;training benchmark;AI hardware;time-to-train;accelerator performance
industry_tech_mlperf_inference_2019,MLPerf Inference Benchmark,arXiv,https://arxiv.org/abs/1911.02549,https://arxiv.org/pdf/1911.02549.pdf,2019,2019-11,1,benchmark_methodology,MLPerf;inference benchmark;latency;throughput;power;AI accelerator
industry_tech_flashattention_2022,FlashAttention Fast and Memory-Efficient Exact Attention with IO-Awareness,arXiv,https://arxiv.org/abs/2205.14135,https://arxiv.org/pdf/2205.14135.pdf,2022,2022-05,2,technical_paper,FlashAttention;HBM;SRAM;IO-aware;Transformer;training efficiency;memory bandwidth
industry_tech_pagedattention_vllm_2023,Efficient Memory Management for Large Language Model Serving with PagedAttention,arXiv,https://arxiv.org/abs/2309.06180,https://arxiv.org/pdf/2309.06180.pdf,2023,2023-09,2,technical_paper,PagedAttention;vLLM;KV cache;LLM serving;inference throughput;memory management
industry_tech_fire_flyer_ai_hpc_2024,Fire-Flyer AI-HPC Cost-Effective Software-Hardware Co-Design for Deep Learning,arXiv,https://arxiv.org/abs/2408.14158,https://arxiv.org/pdf/2408.14158.pdf,2024,2024-08,2,technical_paper,AI-HPC;cluster architecture;PCIe A100;cost efficiency;allreduce;storage-compute network
industry_tech_deepseek_v3_2025,DeepSeek-V3 Technical Report,arXiv,https://arxiv.org/abs/2412.19437,https://arxiv.org/pdf/2412.19437.pdf,2025,2025-02,2,model_technical_report,DeepSeek-V3;MoE;MLA;H800;training efficiency;inference efficiency;multi-token prediction
industry_tech_heterogeneous_chiplets_ai_2024,Challenges and Opportunities to Enable Large-Scale Computing via Heterogeneous Chiplets,arXiv,https://arxiv.org/abs/2311.16417,https://arxiv.org/pdf/2311.16417.pdf,2024,2024-03,2,technical_paper,heterogeneous chiplets;AI workloads;chiplet interface;packaging;security;programming model
