evidence_id,claim_id,source_report_id,source_title,page,section,source_tier,text,as_of_date,quality
evidence_5d9651aa2a8fb4bc,claim_7f468d86f99ff665,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,2025,medium
evidence_70e6dc83988edbb2,claim_3ecb647b4264a73b,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,2025,medium
evidence_46002849673ca812,claim_bf755ba88fa647bc,annual_000938_2025,2025年年度报告,8,注册变更情况,1,作为数字化及AI解决方案领导者，公司提供全栈智能化的信息通信（ICT）基础设施、云与智能平台，以及数字化转型及智能化升级解决方案。,2025,high
evidence_396b483c523eeac8,claim_910bc7e4f9d2267f,annual_000938_2025,2025年年度报告,26,费用,1,完成数据中心控制器 7.4 版本发布,2025,medium
evidence_ac0d438f47c853df,claim_01629214b9a108bc,annual_000938_2025,2025年年度报告,26,费用,1,完成数据中心控制器 7.4 版本发布,2025,medium
evidence_6a06690e6aca67b7,claim_ef10e0987f9a926e,annual_000938_2025,2025年年度报告,25,费用,1,完成高密400GE框式和盒式交换机发布,2025,medium
evidence_2d2f369546dea4a4,claim_d43ac4f93bc1463a,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,H3C UniPoD S80000 超节点产品，大幅提升通信效率和模型算力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持,2025,high
evidence_2a0fc664f3e167f5,claim_f7b4f838c774d2e0,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,关键部件实现液冷散热,2025,medium
evidence_0b79d6c0781a4cac,claim_b76ac700cace816f,annual_000938_2025,2025年年度报告,26,费用,1,完成 CAS 虚拟化产品升级版本发布,2025,medium
evidence_e16452cdae3428ea,claim_f44beeb8f081cfa9,annual_000938_2025,2025年年度报告,14,优质的客户资源和丰富的数字化转型实践经验,1,中国数据中心交换机市场份额33.1%，排名第二,2025,medium
evidence_5ccdef7b55e6d31d,claim_60dab9bde6c5f01d,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,公司发布了面向极速交易场景的新一代国芯超低时延交换机,2025,medium
evidence_7fa3c03c46191b5e,claim_e8e1b19d47399ab3,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,发布基于DDC（Diversity Dynamic-Connectivity，多元动态联接）架构的新一代无损网络解决方案,2025,high
evidence_989d0acdb73a2b71,claim_6e2edf0f600289ed,annual_000938_2025,2025年年度报告,8,注册变更情况,1,作为数字化及AI解决方案领导者，公司提供全栈智能化的信息通信（ICT）基础设施、云与智能平台，以及数字化转型及智能化升级解决方案。,2025,high
evidence_6c4cb6be2323f544,claim_f4b91fb8b8c459f4,annual_000938_2025,2025年年度报告,136,重要会计政策及会计估计（续）,1,数据中心建造服务是数据中心建造环节的具体服务形式,2025,medium
evidence_9891cb22e08ad58c,claim_039b4e73155c6e71,annual_000938_2025,2025年年度报告,19,抢抓产业机遇，助力国内行业客户增强数智化水平,1,与中国移动积极推动算力网络发展，共同完成业界首次800G以太网智算协同训练的现网技术试验。,2025,high
evidence_10d3b064f2774608,claim_984fcfa5df35f10d,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,公司重点推进CPO 技术与Scale-up 整机柜两大前沿技术方向研究,2025,high
evidence_2f0b5802d31e9264,claim_6d38ddeb63effea9,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,公司重点推进CPO 技术与Scale-up 整机柜两大前沿技术方向研究,2025,high
