source_report_id,source_title,source_url,published_at,source_type,license_or_usage_note,included_fields
annual_000938_2025,2025年年度报告,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=000938&announcementId=1225101866&orgId=gssz0000938&announcementTime=1776182400000,2026-04-15,company_annual_report,Public company disclosure; sample redistributes structured metadata and short evidence snippets only.,claims;evidence_spans;relations
industry_tech_deepseek_v3_2025,DeepSeek-V3 Technical Report,https://arxiv.org/abs/2412.19437,2025-02,model_technical_report,Public technical report; sample redistributes structured metadata and short evidence snippets only.,claims;evidence_spans
industry_tech_fire_flyer_ai_hpc_2024,Fire-Flyer AI-HPC Cost-Effective Software-Hardware Co-Design for Deep Learning,https://arxiv.org/abs/2408.14158,2024-08,technical_paper,Public technical paper; sample redistributes structured metadata and short evidence snippets only.,claims;evidence_spans
industry_tech_flashattention_2022,FlashAttention Fast and Memory-Efficient Exact Attention with IO-Awareness,https://arxiv.org/abs/2205.14135,2022-05,technical_paper,Public technical paper; sample redistributes structured metadata and short evidence snippets only.,claims;evidence_spans
industry_tech_heterogeneous_chiplets_ai_2024,Challenges and Opportunities to Enable Large-Scale Computing via Heterogeneous Chiplets,https://arxiv.org/abs/2311.16417,2024-03,technical_paper,Public technical paper; sample redistributes structured metadata and short evidence snippets only.,claims;evidence_spans
industry_tech_hir_photonics_2023,HIR 2023 Integrated Photonics,https://eps.ieee.org/technology/heterogeneous-integration-roadmap/2023-edition.html,2023-03,technical_roadmap,Public roadmap/reference material; sample redistributes structured metadata and short evidence snippets only.,claims;evidence_spans
industry_tech_hir_thermal_2023,HIR 2023 Thermal,https://eps.ieee.org/technology/heterogeneous-integration-roadmap/2023-edition.html,2023-03,technical_roadmap,Public roadmap/reference material; sample redistributes structured metadata and short evidence snippets only.,claims;evidence_spans
industry_tech_irds_more_moore_2024,IRDS 2024 More Moore,https://irds.ieee.org/images/files/pdf/2024/2024IRDS_MM.pdf,2024,technical_roadmap,Public roadmap/reference material; sample redistributes structured metadata and short evidence snippets only.,claims;evidence_spans
industry_tech_irds_outside_system_connectivity_2024,IRDS 2024 Outside System Connectivity,https://irds.ieee.org/images/files/pdf/2024/2024IRDS_OSC.pdf,2024,technical_roadmap,Public roadmap/reference material; sample redistributes structured metadata and short evidence snippets only.,claims;evidence_spans
industry_tech_irds_packaging_tutorial_2024,IRDS 2024 Executive Packaging Tutorial Part 1,https://irds.ieee.org/images/files/pdf/2024/2024IRDS_EPT-Part1.pdf,2024,technical_roadmap,Public roadmap/reference material; sample redistributes structured metadata and short evidence snippets only.,claims;evidence_spans
industry_tech_pagedattention_vllm_2023,Efficient Memory Management for Large Language Model Serving with PagedAttention,https://arxiv.org/abs/2309.06180,2023-09,technical_paper,Public technical paper; sample redistributes structured metadata and short evidence snippets only.,claims;evidence_spans
industry_tech_ucie_2_whitepaper_2024,UCIe 2.0 Specification Continuing Innovation to Drive an Open Chiplet Ecosystem,https://www.uciexpress.org/2-0-spec-download,2024-08,open_specification,Open specification/reference material; sample redistributes structured metadata and short evidence snippets only.,claims;evidence_spans
industry_tech_ultra_ethernet_1_0_2_2026,Ultra Ethernet Specification v1.0.2,https://ultraethernet.org/ultra-ethernet-consortium-uec-launches-specification-1-0-transforming-ethernet-for-ai-and-hpc-at-scale/,2026-01,open_specification,Open specification/reference material; sample redistributes structured metadata and short evidence snippets only.,claims;evidence_spans
