relation_id,head_type,head_name,relation,tail_type,tail_name,evidence,source_report_id,source_title,page,section,source_tier,confidence,review_status
relation_03b42a2d8c9a0b11,Company,紫光股份,HAS_METRIC,Metric,扣非归母净利润同比增长率,实现归属于上市公司股东的扣除非经常性损益的净利润16.35亿元，同比增长12.26%,annual_000938_2025,2025年年度报告,39,市值管理制度和估值提升计划的制定落实情况,1,1.00,auto
relation_049f50ceb5733c38,Company,紫光股份,BELONGS_TO_CHAIN,IndustryChain,AI算力产业链,公司深化推进“算力×联接”战略，聚焦智算和国产化领域,annual_000938_2025,2025年年度报告,16,主营业务分析,1,0.80,auto
relation_04f1b6f9d31fc612,Company,紫光股份,HAS_PRODUCT,Product,H3C UniStor Polaris X20000 系列,公司发布H3C UniStor Polaris X20000 系列多个新款型,annual_000938_2025,2025年年度报告,18,核心竞争力,1,0.90,auto
relation_052ec4ec67ec5e48,Company,紫光股份,HAS_PRODUCT,Product,X86服务器,中国X86服务器市场份额12.5%，位列第三,annual_000938_2025,2025年年度报告,14,优质的客户资源和丰富的数字化转型实践经验,1,0.90,auto
relation_059e9873bb549c69,Company,紫光股份,HAS_METRIC,Metric,研发费用_2024,"表格：2024年研发费用5,101,818,089.81元",annual_000938_2025,2025年年度报告,24,单位：元,1,1.00,auto
relation_06993201b6c1f4d9,Company,紫光股份,HAS_PRODUCT,Product,800G国芯智算交换机,发布基于国产关键芯片与核心元器件的800G 国芯智算交换机,annual_000938_2025,2025年年度报告,17,力利用率，关键部件实现液冷散热，为万亿参数模型训练提供强大支持，兼具高效与绿色特性。,1,0.90,auto
relation_06a5a9cfd54187bd,Company,紫光股份,DISCLOSES_RISK,Risk,法律风险,4、法律风险：因相关法律法规发生变化或交易对手违反相关法律法规，可能造成合约无法正常执行而给公司带来损失。,annual_000938_2025,2025年年度报告,32,√适用 □不适用,1,1.00,auto
relation_0724424e25df030d,Company,紫光股份,USES_TECHNOLOGY,Technology,CloudOS,同上,annual_000938_2025,2025年年度报告,15,覆盖全球的销售网络,1,0.90,auto
relation_074f19cb71e3f793,Company,紫光股份,USES_TECHNOLOGY,Technology,AI in ALL,致力于成为以“AI in ALL”为核心的全球化云网边端解决方案服务商,annual_000938_2025,2025年年度报告,36,资金需求及使用计划,1,0.90,auto
relation_07bab5a24e1ff789,Company,紫光股份,HAS_EXPOSURE,IndustryConcept,数字化及AI解决方案,作为数字化及AI解决方案领导者，公司提供全栈智能化的信息通信（ICT）基础设施、云与智能平台，以及数字化转型及智能化升级解决方案。,annual_000938_2025,2025年年度报告,8,注册变更情况,1,1.00,auto
relation_082f01dea651dc5a,Company,紫光股份,HAS_METRIC,Metric,归属于上市公司股东的净利润,公司实现归属于上市公司股东的净利润16.86亿元,annual_000938_2025,2025年年度报告,16,主营业务分析,1,1.00,auto
relation_08f0fdcb87530f47,Company,紫光股份,USES_TECHNOLOGY,Technology,智算技术,公司将持续深化智算技术创新，进行产品迭代升级,annual_000938_2025,2025年年度报告,35,公司未来发展的展望,1,0.80,auto
relation_0af8f2b57ed44d2c,Company,紫光股份,HAS_PRODUCT,Product,数据中心控制器7.4版本,完成数据中心控制器 7.4 版本发布,annual_000938_2025,2025年年度报告,26,费用,1,1.00,auto
relation_0b572b0b40bc9456,Company,紫光股份,HAS_EXPOSURE,IndustryConcept,AI,作为数字化及AI解决方案提供者,annual_000938_2025,2025年年度报告,113,基本情况,1,1.00,auto
relation_0c3281adac13b892,Company,紫光股份,HAS_PRODUCT,Product,自主可控大容量交换机项目,完成高密400GE框式和盒式交换机发布,annual_000938_2025,2025年年度报告,25,费用,1,1.00,auto
